Quarter,Type of personal insolvency administration,State,In a business or company,Number of people entering a new personal insolvency
2009Q1,Total bankruptcies,Northern Territory,Yes,8
2009Q1,Total bankruptcies,Australian Capital Territory,Yes,27
2009Q1,Total bankruptcies,Other,Yes,14
2009Q1,Deceased estate,New South Wales,Yes,0
2009Q1,Deceased estate,Victoria,Yes,0
2009Q1,Deceased estate,Queensland,Yes,0
2009Q1,Deceased estate,South Australia,Yes,0
2009Q1,Deceased estate,Western Australia,Yes,0
2009Q1,Deceased estate,Tasmania,Yes,0
2009Q1,Deceased estate,Northern Territory,Yes,0
2009Q1,Deceased estate,Australian Capital Territory,Yes,0
2009Q1,Deceased estate,Other,Yes,1
2009Q1,Debt agreement,New South Wales,Yes,31
2009Q1,Debt agreement,Victoria,Yes,28
2009Q1,Debt agreement,Queensland,Yes,17
2009Q1,Debt agreement,South Australia,Yes,3
2009Q1,Debt agreement,Western Australia,Yes,9
2009Q1,Debt agreement,Tasmania,Yes,3
2009Q1,Debt agreement,Northern Territory,Yes,1
2009Q1,Debt agreement,Australian Capital Territory,Yes,2
2009Q1,Debt agreement,Other,Yes,0
2009Q1,Personal insolvency agreement,New South Wales,Yes,9
2009Q1,Personal insolvency agreement,Victoria,Yes,25
2009Q1,Personal insolvency agreement,Queensland,Yes,6
2009Q1,Personal insolvency agreement,South Australia,Yes,0
2009Q1,Personal insolvency agreement,Western Australia,Yes,2
2009Q1,Personal insolvency agreement,Tasmania,Yes,0
2009Q1,Personal insolvency agreement,Northern Territory,Yes,0
2009Q1,Personal insolvency agreement,Australian Capital Territory,Yes,0
2009Q1,Personal insolvency agreement,Other,Yes,1
2009Q2,Debtor's petition,New South Wales,Yes,772
2009Q2,Debtor's petition,Victoria,Yes,474
2009Q2,Debtor's petition,Queensland,Yes,596
2009Q2,Debtor's petition,South Australia,Yes,107
2009Q2,Debtor's petition,Western Australia,Yes,138
2009Q2,Debtor's petition,Tasmania,Yes,51
2009Q2,Debtor's petition,Northern Territory,Yes,9
2009Q2,Debtor's petition,Australian Capital Territory,Yes,16
2009Q2,Debtor's petition,Other,Yes,5
2009Q2,Sequestration order,New South Wales,Yes,154
2009Q2,Sequestration order,Victoria,Yes,93
2009Q2,Sequestration order,Queensland,Yes,56
2009Q2,Sequestration order,South Australia,Yes,21
2009Q2,Sequestration order,Western Australia,Yes,14
2009Q2,Sequestration order,Tasmania,Yes,5
2009Q2,Sequestration order,Northern Territory,Yes,1
2009Q2,Sequestration order,Australian Capital Territory,Yes,7
2009Q2,Sequestration order,Other,Yes,0
2009Q2,Total bankruptcies,New South Wales,Yes,926
2009Q2,Total bankruptcies,Victoria,Yes,567
2009Q2,Total bankruptcies,Queensland,Yes,652
2009Q2,Total bankruptcies,South Australia,Yes,128
2009Q2,Total bankruptcies,Western Australia,Yes,152
2009Q2,Total bankruptcies,Tasmania,Yes,56
2009Q2,Total bankruptcies,Northern Territory,Yes,10
2009Q2,Total bankruptcies,Australian Capital Territory,Yes,23
2009Q2,Total bankruptcies,Other,Yes,5
2009Q2,Deceased estate,New South Wales,Yes,0
2009Q2,Deceased estate,Victoria,Yes,0
2009Q2,Deceased estate,Queensland,Yes,0
2009Q2,Deceased estate,South Australia,Yes,0
2009Q2,Deceased estate,Western Australia,Yes,0
2009Q2,Deceased estate,Tasmania,Yes,0
2009Q2,Deceased estate,Northern Territory,Yes,0
2009Q2,Deceased estate,Australian Capital Territory,Yes,0
2009Q2,Deceased estate,Other,Yes,1
2009Q2,Debt agreement,New South Wales,Yes,34
2009Q2,Debt agreement,Victoria,Yes,35
2009Q2,Debt agreement,Queensland,Yes,22
2009Q2,Debt agreement,South Australia,Yes,6
2009Q2,Debt agreement,Western Australia,Yes,11
2009Q2,Debt agreement,Tasmania,Yes,2
2009Q2,Debt agreement,Northern Territory,Yes,0
2009Q2,Debt agreement,Australian Capital Territory,Yes,2
2009Q2,Debt agreement,Other,Yes,0
2009Q2,Personal insolvency agreement,New South Wales,Yes,17
2009Q2,Personal insolvency agreement,Victoria,Yes,27
2009Q2,Personal insolvency agreement,Queensland,Yes,12
2009Q2,Personal insolvency agreement,South Australia,Yes,4
2009Q2,Personal insolvency agreement,Western Australia,Yes,7
2009Q2,Personal insolvency agreement,Tasmania,Yes,0
2009Q2,Personal insolvency agreement,Northern Territory,Yes,0
2009Q2,Personal insolvency agreement,Australian Capital Territory,Yes,0
2009Q2,Personal insolvency agreement,Other,Yes,1
2009Q3,Debtor's petition,New South Wales,Yes,846
2009Q3,Debtor's petition,Victoria,Yes,459
2009Q3,Debtor's petition,Queensland,Yes,600
2009Q3,Debtor's petition,South Australia,Yes,115
2009Q3,Debtor's petition,Western Australia,Yes,181
2009Q3,Debtor's petition,Tasmania,Yes,40
2009Q3,Debtor's petition,Northern Territory,Yes,10
2009Q3,Debtor's petition,Australian Capital Territory,Yes,19
2009Q3,Debtor's petition,Other,Yes,6
2009Q3,Sequestration order,New South Wales,Yes,141
2009Q3,Sequestration order,Victoria,Yes,98
2009Q3,Sequestration order,Queensland,Yes,60
2009Q3,Sequestration order,South Australia,Yes,33
2009Q3,Sequestration order,Western Australia,Yes,23
2009Q3,Sequestration order,Tasmania,Yes,9
2009Q3,Sequestration order,Northern Territory,Yes,7
2009Q3,Sequestration order,Australian Capital Territory,Yes,5
2009Q3,Sequestration order,Other,Yes,4
2009Q3,Total bankruptcies,New South Wales,Yes,987
2009Q3,Total bankruptcies,Victoria,Yes,557
2009Q3,Total bankruptcies,Queensland,Yes,660
2009Q3,Total bankruptcies,South Australia,Yes,148
2009Q3,Total bankruptcies,Western Australia,Yes,204
2009Q3,Total bankruptcies,Tasmania,Yes,49
2009Q3,Total bankruptcies,Northern Territory,Yes,17
2009Q3,Total bankruptcies,Australian Capital Territory,Yes,24
2009Q3,Total bankruptcies,Other,Yes,10
2009Q3,Deceased estate,New South Wales,Yes,0
2009Q3,Deceased estate,Victoria,Yes,0
2009Q3,Deceased estate,Queensland,Yes,0
2009Q3,Deceased estate,South Australia,Yes,0
2009Q3,Deceased estate,Western Australia,Yes,0
2009Q3,Deceased estate,Tasmania,Yes,0
2009Q3,Deceased estate,Northern Territory,Yes,0
2009Q3,Deceased estate,Australian Capital Territory,Yes,0
2009Q3,Deceased estate,Other,Yes,4
2009Q3,Debt agreement,New South Wales,Yes,49
2009Q3,Debt agreement,Victoria,Yes,29
2009Q3,Debt agreement,Queensland,Yes,37
2009Q3,Debt agreement,South Australia,Yes,4
2009Q3,Debt agreement,Western Australia,Yes,15
2009Q3,Debt agreement,Tasmania,Yes,2
2009Q3,Debt agreement,Northern Territory,Yes,1
2009Q3,Debt agreement,Australian Capital Territory,Yes,1
2009Q3,Debt agreement,Other,Yes,0
2009Q3,Personal insolvency agreement,New South Wales,Yes,24
