Quarter,Type of personal insolvency administration,State,In a business or company,Number of people entering a new personal insolvency
2009Q4,Debt agreement,Tasmania,Yes,5
2009Q4,Debt agreement,Northern Territory,Yes,1
2009Q4,Debt agreement,Australian Capital Territory,Yes,0
2009Q4,Debt agreement,Other,Yes,0
2009Q4,Personal insolvency agreement,New South Wales,Yes,21
2009Q4,Personal insolvency agreement,Victoria,Yes,51
2009Q4,Personal insolvency agreement,Queensland,Yes,17
2009Q4,Personal insolvency agreement,South Australia,Yes,4
2009Q4,Personal insolvency agreement,Western Australia,Yes,4
2009Q4,Personal insolvency agreement,Tasmania,Yes,0
2009Q4,Personal insolvency agreement,Northern Territory,Yes,1
2009Q4,Personal insolvency agreement,Australian Capital Territory,Yes,2
2009Q4,Personal insolvency agreement,Other,Yes,1
2010Q1,Debtor's petition,New South Wales,Yes,679
2010Q1,Debtor's petition,Victoria,Yes,394
2010Q1,Debtor's petition,Queensland,Yes,504
2010Q1,Debtor's petition,South Australia,Yes,102
2010Q1,Debtor's petition,Western Australia,Yes,153
2010Q1,Debtor's petition,Tasmania,Yes,40
2010Q1,Debtor's petition,Northern Territory,Yes,13
2010Q1,Debtor's petition,Australian Capital Territory,Yes,11
2010Q1,Debtor's petition,Other,Yes,5
2010Q1,Sequestration order,New South Wales,Yes,130
2010Q1,Sequestration order,Victoria,Yes,89
2010Q1,Sequestration order,Queensland,Yes,87
2010Q1,Sequestration order,South Australia,Yes,19
2010Q1,Sequestration order,Western Australia,Yes,20
2010Q1,Sequestration order,Tasmania,Yes,5
2010Q1,Sequestration order,Northern Territory,Yes,1
2010Q1,Sequestration order,Australian Capital Territory,Yes,5
2010Q1,Sequestration order,Other,Yes,4
2010Q1,Total bankruptcies,New South Wales,Yes,809
2010Q1,Total bankruptcies,Victoria,Yes,483
2010Q1,Total bankruptcies,Queensland,Yes,591
2010Q1,Total bankruptcies,South Australia,Yes,121
2010Q1,Total bankruptcies,Western Australia,Yes,173
2010Q1,Total bankruptcies,Tasmania,Yes,45
2010Q1,Total bankruptcies,Northern Territory,Yes,14
2010Q1,Total bankruptcies,Australian Capital Territory,Yes,16
2010Q1,Total bankruptcies,Other,Yes,9
2010Q1,Deceased estate,New South Wales,Yes,0
2010Q1,Deceased estate,Victoria,Yes,0
2010Q1,Deceased estate,Queensland,Yes,0
2010Q1,Deceased estate,South Australia,Yes,0
2010Q1,Deceased estate,Western Australia,Yes,0
2010Q1,Deceased estate,Tasmania,Yes,0
2010Q1,Deceased estate,Northern Territory,Yes,0
2010Q1,Deceased estate,Australian Capital Territory,Yes,0
2010Q1,Deceased estate,Other,Yes,2
2010Q1,Debt agreement,New South Wales,Yes,37
2010Q1,Debt agreement,Victoria,Yes,42
2010Q1,Debt agreement,Queensland,Yes,36
2010Q1,Debt agreement,South Australia,Yes,7
2010Q1,Debt agreement,Western Australia,Yes,7
2010Q1,Debt agreement,Tasmania,Yes,2
2010Q1,Debt agreement,Northern Territory,Yes,0
2010Q1,Debt agreement,Australian Capital Territory,Yes,3
2010Q1,Debt agreement,Other,Yes,0
2010Q1,Personal insolvency agreement,New South Wales,Yes,31
2010Q1,Personal insolvency agreement,Victoria,Yes,42
2010Q1,Personal insolvency agreement,Queensland,Yes,16
2010Q1,Personal insolvency agreement,South Australia,Yes,4
2010Q1,Personal insolvency agreement,Western Australia,Yes,12
2010Q1,Personal insolvency agreement,Tasmania,Yes,0
2010Q1,Personal insolvency agreement,Northern Territory,Yes,0
2010Q1,Personal insolvency agreement,Australian Capital Territory,Yes,0
2010Q1,Personal insolvency agreement,Other,Yes,1
2010Q2,Debtor's petition,New South Wales,Yes,702
2010Q2,Debtor's petition,Victoria,Yes,388
2010Q2,Debtor's petition,Queensland,Yes,634
2010Q2,Debtor's petition,South Australia,Yes,89
2010Q2,Debtor's petition,Western Australia,Yes,138
2010Q2,Debtor's petition,Tasmania,Yes,54
2010Q2,Debtor's petition,Northern Territory,Yes,14
2010Q2,Debtor's petition,Australian Capital Territory,Yes,17
2010Q2,Debtor's petition,Other,Yes,7
2010Q2,Sequestration order,New South Wales,Yes,144
2010Q2,Sequestration order,Victoria,Yes,116
2010Q2,Sequestration order,Queensland,Yes,107
2010Q2,Sequestration order,South Australia,Yes,36
2010Q2,Sequestration order,Western Australia,Yes,16
2010Q2,Sequestration order,Tasmania,Yes,4
2010Q2,Sequestration order,Northern Territory,Yes,5
2010Q2,Sequestration order,Australian Capital Territory,Yes,7
2010Q2,Sequestration order,Other,Yes,5
2010Q2,Total bankruptcies,New South Wales,Yes,846
2010Q2,Total bankruptcies,Victoria,Yes,504
2010Q2,Total bankruptcies,Queensland,Yes,741
2010Q2,Total bankruptcies,South Australia,Yes,125
2010Q2,Total bankruptcies,Western Australia,Yes,154
2010Q2,Total bankruptcies,Tasmania,Yes,58
2010Q2,Total bankruptcies,Northern Territory,Yes,19
2010Q2,Total bankruptcies,Australian Capital Territory,Yes,24
2010Q2,Total bankruptcies,Other,Yes,12
2010Q2,Deceased estate,New South Wales,Yes,0
2010Q2,Deceased estate,Victoria,Yes,0
2010Q2,Deceased estate,Queensland,Yes,0
2010Q2,Deceased estate,South Australia,Yes,0
2010Q2,Deceased estate,Western Australia,Yes,0
2010Q2,Deceased estate,Tasmania,Yes,0
2010Q2,Deceased estate,Northern Territory,Yes,0
2010Q2,Deceased estate,Australian Capital Territory,Yes,0
2010Q2,Deceased estate,Other,Yes,0
2010Q2,Debt agreement,New South Wales,Yes,34
2010Q2,Debt agreement,Victoria,Yes,31
2010Q2,Debt agreement,Queensland,Yes,38
2010Q2,Debt agreement,South Australia,Yes,4
2010Q2,Debt agreement,Western Australia,Yes,15
2010Q2,Debt agreement,Tasmania,Yes,6
2010Q2,Debt agreement,Northern Territory,Yes,0
2010Q2,Debt agreement,Australian Capital Territory,Yes,2
2010Q2,Debt agreement,Other,Yes,0
2010Q2,Personal insolvency agreement,New South Wales,Yes,23
2010Q2,Personal insolvency agreement,Victoria,Yes,22
2010Q2,Personal insolvency agreement,Queensland,Yes,11
2010Q2,Personal insolvency agreement,South Australia,Yes,8
2010Q2,Personal insolvency agreement,Western Australia,Yes,9
2010Q2,Personal insolvency agreement,Tasmania,Yes,1
2010Q2,Personal insolvency agreement,Northern Territory,Yes,0
2010Q2,Personal insolvency agreement,Australian Capital Territory,Yes,0
2010Q2,Personal insolvency agreement,Other,Yes,0
2010Q3,Debtor's petition,New South Wales,Yes,742
2010Q3,Debtor's petition,Victoria,Yes,369
2010Q3,Debtor's petition,Queensland,Yes,498
2010Q3,Debtor's petition,South Australia,Yes,104
2010Q3,Debtor's petition,Western Australia,Yes,173
2010Q3,Debtor's petition,Tasmania,Yes,39
2010Q3,Debtor's petition,Northern Territory,Yes,5
2010Q3,Debtor's petition,Australian Capital Territory,Yes,20
2010Q3,Debtor's petition,Other,Yes,9
2010Q3,Sequestration order,New South Wales,Yes,168
2010Q3,Sequestration order,Victoria,Yes,111
2010Q3,Sequestration order,Queensland,Yes,121
2010Q3,Sequestration order,South Australia,Yes,16
2010Q3,Sequestration order,Western Australia,Yes,16
2010Q3,Sequestration order,Tasmania,Yes,6
2010Q3,Sequestration order,Northern Territory,Yes,4
2010Q3,Sequestration order,Australian Capital Territory,Yes,8
2010Q3,Sequestration order,Other,Yes,6
2010Q3,Total bankruptcies,New South Wales,Yes,910
2010Q3,Total bankruptcies,Victoria,Yes,480
2010Q3,Total bankruptcies,Queensland,Yes,619
2010Q3,Total bankruptcies,South Australia,Yes,120
2010Q3,Total bankruptcies,Western Australia,Yes,189
2010Q3,Total bankruptcies,Tasmania,Yes,45
2010Q3,Total bankruptcies,Northern Territory,Yes,9
2010Q3,Total bankruptcies,Australian Capital Territory,Yes,28
2010Q3,Total bankruptcies,Other,Yes,15
2010Q3,Deceased estate,New South Wales,Yes,0
2010Q3,Deceased estate,Victoria,Yes,0
2010Q3,Deceased estate,Queensland,Yes,0
2010Q3,Deceased estate,South Australia,Yes,0
2010Q3,Deceased estate,Western Australia,Yes,0
2010Q3,Deceased estate,Tasmania,Yes,0
2010Q3,Deceased estate,Northern Territory,Yes,0
2010Q3,Deceased estate,Australian Capital Territory,Yes,0
2010Q3,Deceased estate,Other,Yes,4
2010Q3,Debt agreement,New South Wales,Yes,40
2010Q3,Debt agreement,Victoria,Yes,30
2010Q3,Debt agreement,Queensland,Yes,32
2010Q3,Debt agreement,South Australia,Yes,9
2010Q3,Debt agreement,Western Australia,Yes,10
2010Q3,Debt agreement,Tasmania,Yes,2
2010Q3,Debt agreement,Northern Territory,Yes,1
2010Q3,Debt agreement,Australian Capital Territory,Yes,1
2010Q3,Debt agreement,Other,Yes,0
2010Q3,Personal insolvency agreement,New South Wales,Yes,20
2010Q3,Personal insolvency agreement,Victoria,Yes,18
2010Q3,Personal insolvency agreement,Queensland,Yes,11
2010Q3,Personal insolvency agreement,South Australia,Yes,0
2010Q3,Personal insolvency agreement,Western Australia,Yes,13
2010Q3,Personal insolvency agreement,Tasmania,Yes,0
2010Q3,Personal insolvency agreement,Northern Territory,Yes,0
2010Q3,Personal insolvency agreement,Australian Capital Territory,Yes,0
2010Q3,Personal insolvency agreement,Other,Yes,0
2010Q4,Debtor's petition,New South Wales,Yes,635
2010Q4,Debtor's petition,Victoria,Yes,321
2010Q4,Debtor's petition,Queensland,Yes,613
2010Q4,Debtor's petition,South Australia,Yes,109
2010Q4,Debtor's petition,Western Australia,Yes,136
2010Q4,Debtor's petition,Tasmania,Yes,41
2010Q4,Debtor's petition,Northern Territory,Yes,10
2010Q4,Debtor's petition,Australian Capital Territory,Yes,19
2010Q4,Debtor's petition,Other,Yes,10
2010Q4,Sequestration order,New South Wales,Yes,114
2010Q4,Sequestration order,Victoria,Yes,105
2010Q4,Sequestration order,Queensland,Yes,104
2010Q4,Sequestration order,South Australia,Yes,24
2010Q4,Sequestration order,Western Australia,Yes,30
2010Q4,Sequestration order,Tasmania,Yes,6
2010Q4,Sequestration order,Northern Territory,Yes,3
2010Q4,Sequestration order,Australian Capital Territory,Yes,3
2010Q4,Sequestration order,Other,Yes,3
2010Q4,Total bankruptcies,New South Wales,Yes,749
2010Q4,Total bankruptcies,Victoria,Yes,426
2010Q4,Total bankruptcies,Queensland,Yes,717
2010Q4,Total bankruptcies,South Australia,Yes,133
2010Q4,Total bankruptcies,Western Australia,Yes,166
2010Q4,Total bankruptcies,Tasmania,Yes,47
2010Q4,Total bankruptcies,Northern Territory,Yes,13
2010Q4,Total bankruptcies,Australian Capital Territory,Yes,22
2010Q4,Total bankruptcies,Other,Yes,13
2010Q4,Deceased estate,New South Wales,Yes,0
2010Q4,Deceased estate,Victoria,Yes,0
2010Q4,Deceased estate,Queensland,Yes,0
2010Q4,Deceased estate,South Australia,Yes,0
2010Q4,Deceased estate,Western Australia,Yes,0
2010Q4,Deceased estate,Tasmania,Yes,0
2010Q4,Deceased estate,Northern Territory,Yes,0
2010Q4,Deceased estate,Australian Capital Territory,Yes,0
2010Q4,Deceased estate,Other,Yes,0
2010Q4,Debt agreement,New South Wales,Yes,51
2010Q4,Debt agreement,Victoria,Yes,32
2010Q4,Debt agreement,Queensland,Yes,45
2010Q4,Debt agreement,South Australia,Yes,5
2010Q4,Debt agreement,Western Australia,Yes,11
2010Q4,Debt agreement,Tasmania,Yes,7
2010Q4,Debt agreement,Northern Territory,Yes,0
2010Q4,Debt agreement,Australian Capital Territory,Yes,1
2010Q4,Debt agreement,Other,Yes,0
2010Q4,Personal insolvency agreement,New South Wales,Yes,17
2010Q4,Personal insolvency agreement,Victoria,Yes,23
2010Q4,Personal insolvency agreement,Queensland,Yes,17
2010Q4,Personal insolvency agreement,South Australia,Yes,0
2010Q4,Personal insolvency agreement,Western Australia,Yes,12
2010Q4,Personal insolvency agreement,Tasmania,Yes,1
2010Q4,Personal insolvency agreement,Northern Territory,Yes,0
2010Q4,Personal insolvency agreement,Australian Capital Territory,Yes,0
2010Q4,Personal insolvency agreement,Other,Yes,0
2011Q1,Debtor's petition,New South Wales,Yes,596
2011Q1,Debtor's petition,Victoria,Yes,301
2011Q1,Debtor's petition,Queensland,Yes,501
2011Q1,Debtor's petition,South Australia,Yes,97
2011Q1,Debtor's petition,Western Australia,Yes,161
2011Q1,Debtor's petition,Tasmania,Yes,31
2011Q1,Debtor's petition,Northern Territory,Yes,7
2011Q1,Debtor's petition,Australian Capital Territory,Yes,19
2011Q1,Debtor's petition,Other,Yes,7
2011Q1,Sequestration order,New South Wales,Yes,100
2011Q1,Sequestration order,Victoria,Yes,80
2011Q1,Sequestration order,Queensland,Yes,82
2011Q1,Sequestration order,South Australia,Yes,18
2011Q1,Sequestration order,Western Australia,Yes,26
2011Q1,Sequestration order,Tasmania,Yes,8
2011Q1,Sequestration order,Northern Territory,Yes,2
2011Q1,Sequestration order,Australian Capital Territory,Yes,3
2011Q1,Sequestration order,Other,Yes,8
2011Q1,Total bankruptcies,New South Wales,Yes,696
2011Q1,Total bankruptcies,Victoria,Yes,381
2011Q1,Total bankruptcies,Queensland,Yes,583
2011Q1,Total bankruptcies,South Australia,Yes,115
2011Q1,Total bankruptcies,Western Australia,Yes,187
2011Q1,Total bankruptcies,Tasmania,Yes,39
2011Q1,Total bankruptcies,Northern Territory,Yes,9
2011Q1,Total bankruptcies,Australian Capital Territory,Yes,22
2011Q1,Total bankruptcies,Other,Yes,15
2011Q1,Deceased estate,New South Wales,Yes,0
2011Q1,Deceased estate,Victoria,Yes,0
2011Q1,Deceased estate,Queensland,Yes,0
2011Q1,Deceased estate,South Australia,Yes,0
2011Q1,Deceased estate,Western Australia,Yes,0
2011Q1,Deceased estate,Tasmania,Yes,0
2011Q1,Deceased estate,Northern Territory,Yes,0
2011Q1,Deceased estate,Australian Capital Territory,Yes,0
2011Q1,Deceased estate,Other,Yes,1
2011Q1,Debt agreement,New South Wales,Yes,44
2011Q1,Debt agreement,Victoria,Yes,20
2011Q1,Debt agreement,Queensland,Yes,34
2011Q1,Debt agreement,South Australia,Yes,4
2011Q1,Debt agreement,Western Australia,Yes,13
2011Q1,Debt agreement,Tasmania,Yes,0
2011Q1,Debt agreement,Northern Territory,Yes,0
2011Q1,Debt agreement,Australian Capital Territory,Yes,0
2011Q1,Debt agreement,Other,Yes,1
2011Q1,Personal insolvency agreement,New South Wales,Yes,21
2011Q1,Personal insolvency agreement,Victoria,Yes,14
2011Q1,Personal insolvency agreement,Queensland,Yes,8
2011Q1,Personal insolvency agreement,South Australia,Yes,0
2011Q1,Personal insolvency agreement,Western Australia,Yes,11
2011Q1,Personal insolvency agreement,Tasmania,Yes,0
2011Q1,Personal insolvency agreement,Northern Territory,Yes,0
2011Q1,Personal insolvency agreement,Australian Capital Territory,Yes,0
2011Q1,Personal insolvency agreement,Other,Yes,0
2011Q2,Debtor's petition,New South Wales,Yes,672
2011Q2,Debtor's petition,Victoria,Yes,360
2011Q2,Debtor's petition,Queensland,Yes,560
2011Q2,Debtor's petition,South Australia,Yes,94
2011Q2,Debtor's petition,Western Australia,Yes,170
2011Q2,Debtor's petition,Tasmania,Yes,39
2011Q2,Debtor's petition,Northern Territory,Yes,5
2011Q2,Debtor's petition,Australian Capital Territory,Yes,14
2011Q2,Debtor's petition,Other,Yes,5
2011Q2,Sequestration order,New South Wales,Yes,120
2011Q2,Sequestration order,Victoria,Yes,89
2011Q2,Sequestration order,Queensland,Yes,110
2011Q2,Sequestration order,South Australia,Yes,21
2011Q2,Sequestration order,Western Australia,Yes,25
2011Q2,Sequestration order,Tasmania,Yes,2
2011Q2,Sequestration order,Northern Territory,Yes,0
2011Q2,Sequestration order,Australian Capital Territory,Yes,1
2011Q2,Sequestration order,Other,Yes,2
2011Q2,Total bankruptcies,New South Wales,Yes,792
2011Q2,Total bankruptcies,Victoria,Yes,449
2011Q2,Total bankruptcies,Queensland,Yes,670
2011Q2,Total bankruptcies,South Australia,Yes,115
2011Q2,Total bankruptcies,Western Australia,Yes,195
2011Q2,Total bankruptcies,Tasmania,Yes,41
2011Q2,Total bankruptcies,Northern Territory,Yes,5
2011Q2,Total bankruptcies,Australian Capital Territory,Yes,15
2011Q2,Total bankruptcies,Other,Yes,7
2011Q2,Deceased estate,New South Wales,Yes,0
2011Q2,Deceased estate,Victoria,Yes,0
2011Q2,Deceased estate,Queensland,Yes,0
2011Q2,Deceased estate,South Australia,Yes,0
2011Q2,Deceased estate,Western Australia,Yes,0
2011Q2,Deceased estate,Tasmania,Yes,0
2011Q2,Deceased estate,Northern Territory,Yes,0
2011Q2,Deceased estate,Australian Capital Territory,Yes,0
2011Q2,Deceased estate,Other,Yes,3
2011Q2,Debt agreement,New South Wales,Yes,55
2011Q2,Debt agreement,Victoria,Yes,28
2011Q2,Debt agreement,Queensland,Yes,39
2011Q2,Debt agreement,South Australia,Yes,3
2011Q2,Debt agreement,Western Australia,Yes,13
2011Q2,Debt agreement,Tasmania,Yes,3
2011Q2,Debt agreement,Northern Territory,Yes,2
2011Q2,Debt agreement,Australian Capital Territory,Yes,1
2011Q2,Debt agreement,Other,Yes,0
2011Q2,Personal insolvency agreement,New South Wales,Yes,17
2011Q2,Personal insolvency agreement,Victoria,Yes,23
2011Q2,Personal insolvency agreement,Queensland,Yes,14
2011Q2,Personal insolvency agreement,South Australia,Yes,2
2011Q2,Personal insolvency agreement,Western Australia,Yes,10
2011Q2,Personal insolvency agreement,Tasmania,Yes,0
2011Q2,Personal insolvency agreement,Northern Territory,Yes,0
2011Q2,Personal insolvency agreement,Australian Capital Territory,Yes,0
2011Q2,Personal insolvency agreement,Other,Yes,0
2011Q3,Debtor's petition,New South Wales,Yes,624
2011Q3,Debtor's petition,Victoria,Yes,358
2011Q3,Debtor's petition,Queensland,Yes,597
2011Q3,Debtor's petition,South Australia,Yes,99
2011Q3,Debtor's petition,Western Australia,Yes,179
2011Q3,Debtor's petition,Tasmania,Yes,50
2011Q3,Debtor's petition,Northern Territory,Yes,8
2011Q3,Debtor's petition,Australian Capital Territory,Yes,22
2011Q3,Debtor's petition,Other,Yes,8
2011Q3,Sequestration order,New South Wales,Yes,136
2011Q3,Sequestration order,Victoria,Yes,99
2011Q3,Sequestration order,Queensland,Yes,83
2011Q3,Sequestration order,South Australia,Yes,17
2011Q3,Sequestration order,Western Australia,Yes,30
2011Q3,Sequestration order,Tasmania,Yes,10
2011Q3,Sequestration order,Northern Territory,Yes,2
2011Q3,Sequestration order,Australian Capital Territory,Yes,2
2011Q3,Sequestration order,Other,Yes,3
2011Q3,Total bankruptcies,New South Wales,Yes,760
2011Q3,Total bankruptcies,Victoria,Yes,457
2011Q3,Total bankruptcies,Queensland,Yes,680
2011Q3,Total bankruptcies,South Australia,Yes,116
2011Q3,Total bankruptcies,Western Australia,Yes,209
2011Q3,Total bankruptcies,Tasmania,Yes,60
2011Q3,Total bankruptcies,Northern Territory,Yes,10
2011Q3,Total bankruptcies,Australian Capital Territory,Yes,24
2011Q3,Total bankruptcies,Other,Yes,11
2011Q3,Deceased estate,New South Wales,Yes,0
2011Q3,Deceased estate,Victoria,Yes,0
2011Q3,Deceased estate,Queensland,Yes,0
2011Q3,Deceased estate,South Australia,Yes,0
2011Q3,Deceased estate,Western Australia,Yes,0
2011Q3,Deceased estate,Tasmania,Yes,0
2011Q3,Deceased estate,Northern Territory,Yes,0
2011Q3,Deceased estate,Australian Capital Territory,Yes,0
2011Q3,Deceased estate,Other,Yes,1
2011Q3,Debt agreement,New South Wales,Yes,50
2011Q3,Debt agreement,Victoria,Yes,33
2011Q3,Debt agreement,Queensland,Yes,28
2011Q3,Debt agreement,South Australia,Yes,2
2011Q3,Debt agreement,Western Australia,Yes,9
2011Q3,Debt agreement,Tasmania,Yes,1
2011Q3,Debt agreement,Northern Territory,Yes,0
2011Q3,Debt agreement,Australian Capital Territory,Yes,2
2011Q3,Debt agreement,Other,Yes,0
2011Q3,Personal insolvency agreement,New South Wales,Yes,26
2011Q3,Personal insolvency agreement,Victoria,Yes,20
2011Q3,Personal insolvency agreement,Queensland,Yes,13
2011Q3,Personal insolvency agreement,South Australia,Yes,2
2011Q3,Personal insolvency agreement,Western Australia,Yes,20
2011Q3,Personal insolvency agreement,Tasmania,Yes,0
2011Q3,Personal insolvency agreement,Northern Territory,Yes,0
2011Q3,Personal insolvency agreement,Australian Capital Territory,Yes,1
2011Q3,Personal insolvency agreement,Other,Yes,0
2011Q4,Debtor's petition,New South Wales,Yes,653
2011Q4,Debtor's petition,Victoria,Yes,345
2011Q4,Debtor's petition,Queensland,Yes,603
2011Q4,Debtor's petition,South Australia,Yes,96
2011Q4,Debtor's petition,Western Australia,Yes,157
2011Q4,Debtor's petition,Tasmania,Yes,35
2011Q4,Debtor's petition,Northern Territory,Yes,3
2011Q4,Debtor's petition,Australian Capital Territory,Yes,14
2011Q4,Debtor's petition,Other,Yes,8
2011Q4,Sequestration order,New South Wales,Yes,141
2011Q4,Sequestration order,Victoria,Yes,93
2011Q4,Sequestration order,Queensland,Yes,74
2011Q4,Sequestration order,South Australia,Yes,27
2011Q4,Sequestration order,Western Australia,Yes,33
