Quarter,Type of personal insolvency administration,State,In a business or company,Number of people entering a new personal insolvency,,
Sep-21,Total personal insolvencies,Total,Total,2621,,
Dec-21,Debtor's petition,New South Wales,Yes,137,,
Dec-21,Debtor's petition,Victoria,Yes,101,,
Dec-21,Debtor's petition,Queensland,Yes,171,,
Dec-21,Debtor's petition,South Australia,Yes,28,,
Dec-21,Debtor's petition,Western Australia,Yes,68,,
Dec-21,Debtor's petition,Tasmania,Yes,14,,
Dec-21,Debtor's petition,Northern Territory,Yes,7,,
Dec-21,Debtor's petition,Australian Capital Territory,Yes,7,,
Dec-21,Debtor's petition,Other,Yes,3,,
Dec-21,Debtor's petition,Total,Yes,536,,
Dec-21,Debtor's petition,New South Wales,No,243,,
Dec-21,Debtor's petition,Victoria,No,102,,
Dec-21,Debtor's petition,Queensland,No,270,,
Dec-21,Debtor's petition,South Australia,No,60,,
Dec-21,Debtor's petition,Western Australia,No,99,,
Dec-21,Debtor's petition,Tasmania,No,36,,
Dec-21,Debtor's petition,Northern Territory,No,3,,
Dec-21,Debtor's petition,Australian Capital Territory,No,6,,
Dec-21,Debtor's petition,Other,No,3,,
Dec-21,Debtor's petition,Total,No,822,,
Dec-21,Debtor's petition,New South Wales,Total,380,,
Dec-21,Debtor's petition,Victoria,Total,203,,
Dec-21,Debtor's petition,Queensland,Total,441,,
Dec-21,Debtor's petition,South Australia,Total,88,,
Dec-21,Debtor's petition,Western Australia,Total,167,,
Dec-21,Debtor's petition,Tasmania,Total,50,,
Dec-21,Debtor's petition,Northern Territory,Total,10,,
Dec-21,Debtor's petition,Australian Capital Territory,Total,13,,
Dec-21,Debtor's petition,Other,Total,6,,
Dec-21,Debtor's petition,Total,Total,1358,,
Dec-21,Sequestration order,New South Wales,Yes,10,,
Dec-21,Sequestration order,Victoria,Yes,9,,
Dec-21,Sequestration order,Queensland,Yes,11,,
Dec-21,Sequestration order,South Australia,Yes,0,,
Dec-21,Sequestration order,Western Australia,Yes,4,,
Dec-21,Sequestration order,Tasmania,Yes,0,,
Dec-21,Sequestration order,Northern Territory,Yes,0,,
Dec-21,Sequestration order,Australian Capital Territory,Yes,0,,
Dec-21,Sequestration order,Other,Yes,0,,
Dec-21,Sequestration order,Total,Yes,34,,
Dec-21,Sequestration order,New South Wales,No,58,,
Dec-21,Sequestration order,Victoria,No,37,,
Dec-21,Sequestration order,Queensland,No,26,,
Dec-21,Sequestration order,South Australia,No,8,,
Dec-21,Sequestration order,Western Australia,No,7,,
Dec-21,Sequestration order,Tasmania,No,1,,
Dec-21,Sequestration order,Northern Territory,No,0,,
Dec-21,Sequestration order,Australian Capital Territory,No,0,,
Dec-21,Sequestration order,Other,No,0,,
Dec-21,Sequestration order,Total,No,137,,
Dec-21,Sequestration order,New South Wales,Total,68,,
Dec-21,Sequestration order,Victoria,Total,46,,
Dec-21,Sequestration order,Queensland,Total,37,,
Dec-21,Sequestration order,South Australia,Total,8,,
Dec-21,Sequestration order,Western Australia,Total,11,,
Dec-21,Sequestration order,Tasmania,Total,1,,
Dec-21,Sequestration order,Northern Territory,Total,0,,
Dec-21,Sequestration order,Australian Capital Territory,Total,0,,
Dec-21,Sequestration order,Other,Total,0,,
Dec-21,Sequestration order,Total,Total,171,,
Dec-21,Total bankruptcies,New South Wales,Yes,147,,
Dec-21,Total bankruptcies,Victoria,Yes,110,,
Dec-21,Total bankruptcies,Queensland,Yes,182,,
Dec-21,Total bankruptcies,South Australia,Yes,28,,
Dec-21,Total bankruptcies,Western Australia,Yes,72,,
Dec-21,Total bankruptcies,Tasmania,Yes,14,,
Dec-21,Total bankruptcies,Northern Territory,Yes,7,,
Dec-21,Total bankruptcies,Australian Capital Territory,Yes,7,,
Dec-21,Total bankruptcies,Other,Yes,3,,
Dec-21,Total bankruptcies,Total,Yes,570,,
Dec-21,Total bankruptcies,New South Wales,No,301,,
Dec-21,Total bankruptcies,Victoria,No,139,,
Dec-21,Total bankruptcies,Queensland,No,296,,
Dec-21,Total bankruptcies,South Australia,No,68,,
Dec-21,Total bankruptcies,Western Australia,No,106,,
Dec-21,Total bankruptcies,Tasmania,No,37,,
Dec-21,Total bankruptcies,Northern Territory,No,3,,
Dec-21,Total bankruptcies,Australian Capital Territory,No,6,,
Dec-21,Total bankruptcies,Other,No,3,,
Dec-21,Total bankruptcies,Total,No,959,,
Dec-21,Total bankruptcies,New South Wales,Total,448,,
Dec-21,Total bankruptcies,Victoria,Total,249,,
Dec-21,Total bankruptcies,Queensland,Total,478,,
Dec-21,Total bankruptcies,South Australia,Total,96,,
Dec-21,Total bankruptcies,Western Australia,Total,178,,
Dec-21,Total bankruptcies,Tasmania,Total,51,,
Dec-21,Total bankruptcies,Northern Territory,Total,10,,
Dec-21,Total bankruptcies,Australian Capital Territory,Total,13,,
Dec-21,Total bankruptcies,Other,Total,6,,
Dec-21,Total bankruptcies,Total,Total,1529,,
Dec-21,Deceased estate,New South Wales,Yes,0,,
Dec-21,Deceased estate,Victoria,Yes,0,,
Dec-21,Deceased estate,Queensland,Yes,0,,
Dec-21,Deceased estate,South Australia,Yes,0,,
Dec-21,Deceased estate,Western Australia,Yes,0,,
Dec-21,Deceased estate,Tasmania,Yes,0,,
Dec-21,Deceased estate,Northern Territory,Yes,0,,
Dec-21,Deceased estate,Australian Capital Territory,Yes,0,,
Dec-21,Deceased estate,Other,Yes,1,,
Dec-21,Deceased estate,Total,Yes,1,,
Dec-21,Deceased estate,New South Wales,No,0,,
Dec-21,Deceased estate,Victoria,No,0,,
Dec-21,Deceased estate,Queensland,No,0,,
Dec-21,Deceased estate,South Australia,No,0,,
Dec-21,Deceased estate,Western Australia,No,0,,
Dec-21,Deceased estate,Tasmania,No,0,,
Dec-21,Deceased estate,Northern Territory,No,0,,
Dec-21,Deceased estate,Australian Capital Territory,No,0,,
Dec-21,Deceased estate,Other,No,1,,
Dec-21,Deceased estate,Total,No,1,,
Dec-21,Deceased estate,New South Wales,Total,0,,
Dec-21,Deceased estate,Victoria,Total,0,,
Dec-21,Deceased estate,Queensland,Total,0,,
Dec-21,Deceased estate,South Australia,Total,0,,
Dec-21,Deceased estate,Western Australia,Total,0,,
Dec-21,Deceased estate,Tasmania,Total,0,,
Dec-21,Deceased estate,Northern Territory,Total,0,,
Dec-21,Deceased estate,Australian Capital Territory,Total,0,,
Dec-21,Deceased estate,Other,Total,2,,
Dec-21,Deceased estate,Total,Total,2,,
Dec-21,Debt agreement,New South Wales,Yes,14,,
Dec-21,Debt agreement,Victoria,Yes,5,,
Dec-21,Debt agreement,Queensland,Yes,15,,
Dec-21,Debt agreement,South Australia,Yes,4,,
Dec-21,Debt agreement,Western Australia,Yes,5,,
Dec-21,Debt agreement,Tasmania,Yes,0,,
Dec-21,Debt agreement,Northern Territory,Yes,0,,
Dec-21,Debt agreement,Australian Capital Territory,Yes,0,,
Dec-21,Debt agreement,Other,Yes,0,,
Dec-21,Debt agreement,Total,Yes,43,,
Dec-21,Debt agreement,New South Wales,No,224,,
Dec-21,Debt agreement,Victoria,No,125,,
Dec-21,Debt agreement,Queensland,No,257,,
Dec-21,Debt agreement,South Australia,No,54,,
Dec-21,Debt agreement,Western Australia,No,89,,
Dec-21,Debt agreement,Tasmania,No,27,,
Dec-21,Debt agreement,Northern Territory,No,8,,
Dec-21,Debt agreement,Australian Capital Territory,No,12,,
Dec-21,Debt agreement,Other,No,2,,
Dec-21,Debt agreement,Total,No,798,,
Dec-21,Debt agreement,New South Wales,Total,238,,
Dec-21,Debt agreement,Victoria,Total,130,,
Dec-21,Debt agreement,Queensland,Total,272,,
Dec-21,Debt agreement,South Australia,Total,58,,
Dec-21,Debt agreement,Western Australia,Total,94,,
Dec-21,Debt agreement,Tasmania,Total,27,,
Dec-21,Debt agreement,Northern Territory,Total,8,,
Dec-21,Debt agreement,Australian Capital Territory,Total,12,,
Dec-21,Debt agreement,Other,Total,2,,
Dec-21,Debt agreement,Total,Total,841,,
Dec-21,Personal insolvency agreement,New South Wales,Yes,2,,
Dec-21,Personal insolvency agreement,Victoria,Yes,2,,
Dec-21,Personal insolvency agreement,Queensland,Yes,10,,
Dec-21,Personal insolvency agreement,South Australia,Yes,2,,
Dec-21,Personal insolvency agreement,Western Australia,Yes,3,,
Dec-21,Personal insolvency agreement,Tasmania,Yes,0,,
Dec-21,Personal insolvency agreement,Northern Territory,Yes,0,,
Dec-21,Personal insolvency agreement,Australian Capital Territory,Yes,0,,
Dec-21,Personal insolvency agreement,Other,Yes,0,,
Dec-21,Personal insolvency agreement,Total,Yes,19,,
Dec-21,Personal insolvency agreement,New South Wales,No,3,,
Dec-21,Personal insolvency agreement,Victoria,No,2,,
Dec-21,Personal insolvency agreement,Queensland,No,8,,
Dec-21,Personal insolvency agreement,South Australia,No,1,,
Dec-21,Personal insolvency agreement,Western Australia,No,3,,
Dec-21,Personal insolvency agreement,Tasmania,No,0,,
Dec-21,Personal insolvency agreement,Northern Territory,No,0,,
Dec-21,Personal insolvency agreement,Australian Capital Territory,No,0,,
Dec-21,Personal insolvency agreement,Other,No,0,,
Dec-21,Personal insolvency agreement,Total,No,17,,
Dec-21,Personal insolvency agreement,New South Wales,Total,5,,
Dec-21,Personal insolvency agreement,Victoria,Total,4,,
Dec-21,Personal insolvency agreement,Queensland,Total,18,,
Dec-21,Personal insolvency agreement,South Australia,Total,3,,
Dec-21,Personal insolvency agreement,Western Australia,Total,6,,
Dec-21,Personal insolvency agreement,Tasmania,Total,0,,
Dec-21,Personal insolvency agreement,Northern Territory,Total,0,,
Dec-21,Personal insolvency agreement,Australian Capital Territory,Total,0,,
Dec-21,Personal insolvency agreement,Other,Total,0,,
Dec-21,Personal insolvency agreement,Total,Total,36,,
Dec-21,Total personal insolvencies,New South Wales,Yes,163,,
Dec-21,Total personal insolvencies,Victoria,Yes,117,,
Dec-21,Total personal insolvencies,Queensland,Yes,207,,
Dec-21,Total personal insolvencies,South Australia,Yes,34,,
Dec-21,Total personal insolvencies,Western Australia,Yes,80,,
Dec-21,Total personal insolvencies,Tasmania,Yes,14,,
Dec-21,Total personal insolvencies,Northern Territory,Yes,7,,
Dec-21,Total personal insolvencies,Australian Capital Territory,Yes,7,,
Dec-21,Total personal insolvencies,Other,Yes,4,,
Dec-21,Total personal insolvencies,Total,Yes,633,,
Dec-21,Total personal insolvencies,New South Wales,No,528,,
Dec-21,Total personal insolvencies,Victoria,No,266,,
Dec-21,Total personal insolvencies,Queensland,No,561,,
Dec-21,Total personal insolvencies,South Australia,No,123,,
Dec-21,Total personal insolvencies,Western Australia,No,198,,
Dec-21,Total personal insolvencies,Tasmania,No,64,,
Dec-21,Total personal insolvencies,Northern Territory,No,11,,
Dec-21,Total personal insolvencies,Australian Capital Territory,No,18,,
Dec-21,Total personal insolvencies,Other,No,6,,
Dec-21,Total personal insolvencies,Total,No,1775,,
Dec-21,Total personal insolvencies,New South Wales,Total,691,,
Dec-21,Total personal insolvencies,Victoria,Total,383,,
Dec-21,Total personal insolvencies,Queensland,Total,768,,
Dec-21,Total personal insolvencies,South Australia,Total,157,,
Dec-21,Total personal insolvencies,Western Australia,Total,278,,
Dec-21,Total personal insolvencies,Tasmania,Total,78,,
Dec-21,Total personal insolvencies,Northern Territory,Total,18,,
Dec-21,Total personal insolvencies,Australian Capital Territory,Total,25,,
Dec-21,Total personal insolvencies,Other,Total,10,,
Dec-21,Total personal insolvencies,Total,Total,2408,,
Mar-22,Debtor's petition,New South Wales,Yes,114,,
Mar-22,Debtor's petition,Victoria,Yes,75,,
Mar-22,Debtor's petition,Queensland,Yes,125,,
Mar-22,Debtor's petition,South Australia,Yes,26,,
Mar-22,Debtor's petition,Western Australia,Yes,47,,
Mar-22,Debtor's petition,Tasmania,Yes,4,,
Mar-22,Debtor's petition,Northern Territory,Yes,4,,
Mar-22,Debtor's petition,Australian Capital Territory,Yes,6,,
Mar-22,Debtor's petition,Other,Yes,6,,
Mar-22,Debtor's petition,Total,Yes,407,,
Mar-22,Debtor's petition,New South Wales,No,259,,
Mar-22,Debtor's petition,Victoria,No,143,,
Mar-22,Debtor's petition,Queensland,No,289,,
Mar-22,Debtor's petition,South Australia,No,70,,
Mar-22,Debtor's petition,Western Australia,No,90,,
Mar-22,Debtor's petition,Tasmania,No,30,,
Mar-22,Debtor's petition,Northern Territory,No,4,,
Mar-22,Debtor's petition,Australian Capital Territory,No,11,,
Mar-22,Debtor's petition,Other,No,18,,
Mar-22,Debtor's petition,Total,No,914,,
Mar-22,Debtor's petition,New South Wales,Total,373,,
Mar-22,Debtor's petition,Victoria,Total,218,,
Mar-22,Debtor's petition,Queensland,Total,414,,
Mar-22,Debtor's petition,South Australia,Total,96,,
Mar-22,Debtor's petition,Western Australia,Total,137,,
Mar-22,Debtor's petition,Tasmania,Total,34,,
Mar-22,Debtor's petition,Northern Territory,Total,8,,
Mar-22,Debtor's petition,Australian Capital Territory,Total,17,,
Mar-22,Debtor's petition,Other,Total,24,,
Mar-22,Debtor's petition,Total,Total,1321,,
Mar-22,Sequestration order,New South Wales,Yes,12,,
Mar-22,Sequestration order,Victoria,Yes,8,,
Mar-22,Sequestration order,Queensland,Yes,3,,
Mar-22,Sequestration order,South Australia,Yes,1,,
Mar-22,Sequestration order,Western Australia,Yes,2,,
Mar-22,Sequestration order,Tasmania,Yes,0,,
Mar-22,Sequestration order,Northern Territory,Yes,0,,
Mar-22,Sequestration order,Australian Capital Territory,Yes,0,,
Mar-22,Sequestration order,Other,Yes,0,,
Mar-22,Sequestration order,Total,Yes,26,,
Mar-22,Sequestration order,New South Wales,No,42,,
Mar-22,Sequestration order,Victoria,No,26,,
Mar-22,Sequestration order,Queensland,No,30,,
Mar-22,Sequestration order,South Australia,No,0,,
Mar-22,Sequestration order,Western Australia,No,4,,
Mar-22,Sequestration order,Tasmania,No,0,,
Mar-22,Sequestration order,Northern Territory,No,0,,
Mar-22,Sequestration order,Australian Capital Territory,No,1,,
Mar-22,Sequestration order,Other,No,0,,
Mar-22,Sequestration order,Total,No,103,,
Mar-22,Sequestration order,New South Wales,Total,54,,
Mar-22,Sequestration order,Victoria,Total,34,,
Mar-22,Sequestration order,Queensland,Total,33,,
Mar-22,Sequestration order,South Australia,Total,1,,
Mar-22,Sequestration order,Western Australia,Total,6,,
Mar-22,Sequestration order,Tasmania,Total,0,,
Mar-22,Sequestration order,Northern Territory,Total,0,,
Mar-22,Sequestration order,Australian Capital Territory,Total,1,,
Mar-22,Sequestration order,Other,Total,0,,
Mar-22,Sequestration order,Total,Total,129,,
Mar-22,Total bankruptcies,New South Wales,Yes,126,,
Mar-22,Total bankruptcies,Victoria,Yes,83,,
Mar-22,Total bankruptcies,Queensland,Yes,128,,
Mar-22,Total bankruptcies,South Australia,Yes,27,,
Mar-22,Total bankruptcies,Western Australia,Yes,49,,
Mar-22,Total bankruptcies,Tasmania,Yes,4,,
Mar-22,Total bankruptcies,Northern Territory,Yes,4,,
Mar-22,Total bankruptcies,Australian Capital Territory,Yes,6,,
Mar-22,Total bankruptcies,Other,Yes,6,,
Mar-22,Total bankruptcies,Total,Yes,433,,
Mar-22,Total bankruptcies,New South Wales,No,301,,
Mar-22,Total bankruptcies,Victoria,No,169,,
Mar-22,Total bankruptcies,Queensland,No,319,,
Mar-22,Total bankruptcies,South Australia,No,70,,
Mar-22,Total bankruptcies,Western Australia,No,94,,
Mar-22,Total bankruptcies,Tasmania,No,30,,
Mar-22,Total bankruptcies,Northern Territory,No,4,,
Mar-22,Total bankruptcies,Australian Capital Territory,No,12,,
Mar-22,Total bankruptcies,Other,No,18,,
Mar-22,Total bankruptcies,Total,No,1017,,
Mar-22,Total bankruptcies,New South Wales,Total,427,,
Mar-22,Total bankruptcies,Victoria,Total,252,,
Mar-22,Total bankruptcies,Queensland,Total,447,,
Mar-22,Total bankruptcies,South Australia,Total,97,,
Mar-22,Total bankruptcies,Western Australia,Total,143,,
Mar-22,Total bankruptcies,Tasmania,Total,34,,
Mar-22,Total bankruptcies,Northern Territory,Total,8,,
Mar-22,Total bankruptcies,Australian Capital Territory,Total,18,,
Mar-22,Total bankruptcies,Other,Total,24,,
Mar-22,Total bankruptcies,Total,Total,1450,,
Mar-22,Deceased estate,New South Wales,Yes,0,,
Mar-22,Deceased estate,Victoria,Yes,0,,
Mar-22,Deceased estate,Queensland,Yes,0,,
Mar-22,Deceased estate,South Australia,Yes,0,,
Mar-22,Deceased estate,Western Australia,Yes,0,,
Mar-22,Deceased estate,Tasmania,Yes,0,,
Mar-22,Deceased estate,Northern Territory,Yes,0,,
Mar-22,Deceased estate,Australian Capital Territory,Yes,0,,
Mar-22,Deceased estate,Other,Yes,2,,
Mar-22,Deceased estate,Total,Yes,2,,
Mar-22,Deceased estate,New South Wales,No,0,,
Mar-22,Deceased estate,Victoria,No,0,,
Mar-22,Deceased estate,Queensland,No,0,,
Mar-22,Deceased estate,South Australia,No,0,,
Mar-22,Deceased estate,Western Australia,No,0,,
Mar-22,Deceased estate,Tasmania,No,0,,
Mar-22,Deceased estate,Northern Territory,No,0,,
Mar-22,Deceased estate,Australian Capital Territory,No,0,,
Mar-22,Deceased estate,Other,No,3,,
Mar-22,Deceased estate,Total,No,3,,
Mar-22,Deceased estate,New South Wales,Total,0,,
Mar-22,Deceased estate,Victoria,Total,0,,
Mar-22,Deceased estate,Queensland,Total,0,,
Mar-22,Deceased estate,South Australia,Total,0,,
Mar-22,Deceased estate,Western Australia,Total,0,,
Mar-22,Deceased estate,Tasmania,Total,0,,
Mar-22,Deceased estate,Northern Territory,Total,0,,
Mar-22,Deceased estate,Australian Capital Territory,Total,0,,
Mar-22,Deceased estate,Other,Total,5,,
Mar-22,Deceased estate,Total,Total,5,,
Mar-22,Debt agreement,New South Wales,Yes,18,,
Mar-22,Debt agreement,Victoria,Yes,7,,
Mar-22,Debt agreement,Queensland,Yes,15,,
Mar-22,Debt agreement,South Australia,Yes,5,,
Mar-22,Debt agreement,Western Australia,Yes,6,,
Mar-22,Debt agreement,Tasmania,Yes,4,,
Mar-22,Debt agreement,Northern Territory,Yes,0,,
Mar-22,Debt agreement,Australian Capital Territory,Yes,0,,
Mar-22,Debt agreement,Other,Yes,0,,
Mar-22,Debt agreement,Total,Yes,55,,
Mar-22,Debt agreement,New South Wales,No,200,,
Mar-22,Debt agreement,Victoria,No,99,,
Mar-22,Debt agreement,Queensland,No,228,,
Mar-22,Debt agreement,South Australia,No,46,,
Mar-22,Debt agreement,Western Australia,No,59,,
Mar-22,Debt agreement,Tasmania,No,26,,
Mar-22,Debt agreement,Northern Territory,No,10,,
Mar-22,Debt agreement,Australian Capital Territory,No,6,,
Mar-22,Debt agreement,Other,No,1,,
Mar-22,Debt agreement,Total,No,675,,
Mar-22,Debt agreement,New South Wales,Total,218,,
Mar-22,Debt agreement,Victoria,Total,106,,
Mar-22,Debt agreement,Queensland,Total,243,,
Mar-22,Debt agreement,South Australia,Total,51,,
Mar-22,Debt agreement,Western Australia,Total,65,,
Mar-22,Debt agreement,Tasmania,Total,30,,
Mar-22,Debt agreement,Northern Territory,Total,10,,
